,dish washer,electric stove,fridge,microwave,washer dryer,hour,day,lag_1,rolling_mean,main
2024-01-01 03:00:00,0.0010436534526022515,0.024119385974285,0.0,0.0,0.002599527631552611,0.13043478260869565,0.0,0.02504371287851434,0.04188607603229219,0.028281907363981507
2024-01-01 04:00:00,0.0010875171484362592,0.024112262706129574,0.0,0.0,0.0026095354376413603,0.17391304347826086,0.0,0.028281907363981507,0.029036922458310355,0.02613810070578254
2024-01-01 05:00:00,0.0011086927257354354,0.024133632510595866,0.0,0.0,0.002361842236944817,0.21739130434782608,0.0,0.02613810070578254,0.030272245548126686,0.04679712583099249
2024-01-01 06:00:00,0.0011646567514546867,0.024112262706129574,0.0,0.0,0.0025970256800304237,0.2608695652173913,0.0,0.04679712583099249,0.03913595161977429,0.014763375558059427
2024-01-01 07:00:00,0.001187344869989518,0.02410513943797414,0.0,0.0,0.00251696323132043,0.30434782608695654,0.0,0.014763375558059427,0.03362765309624252,0.012739070437325611
2024-01-01 08:00:00,0.0010950798546145366,0.02423335826477188,0.0,0.0,0.0014386221252577008,0.34782608695652173,0.0,0.012739070437325611,0.028168047001136343,0.17886431825459262
2024-01-01 09:00:00,0.0010315531227170082,0.024190618655839304,0.0,0.0,0.0011909289245611576,0.3913043478260869,0.0,0.17886431825459262,0.08198051210294754,0.20089420525645815
2024-01-01 10:00:00,0.0003463719429650951,1.0,0.0,0.0,0.4621955124997498,0.43478260869565216,0.0,0.20089420525645815,0.15782189703517074,0.5955558311001445
2024-01-01 11:00:00,9.075247413932623e-05,0.0,0.0,0.0,0.8557750045035127,0.4782608695652174,0.0,0.5955558311001445,0.3952980333743434,0.586435540288374
2024-01-01 12:00:00,0.00024351913894052536,0.02410513943797414,0.0,0.0,0.002689597886351354,0.5217391304347826,0.0,0.586435540288374,0.5613681357192777,0.17931936865669265
2024-01-01 13:00:00,0.00020268052557782858,0.024119385974285,0.0,0.0,0.002561998358719801,0.5652173913043478,0.0,0.17931936865669265,0.5525771928643837,0.02635862312516457
2024-01-01 14:00:00,0.0001255409225594013,0.024119385974285,0.0,0.0,0.002556994455675427,0.6086956521739131,0.0,0.02635862312516457,0.3206505172979203,0.021866183612797352
2024-01-01 15:00:00,9.226501537498167e-05,0.024062399829041563,0.0,0.0,0.002724625207661976,0.6521739130434783,0.0,0.021866183612797352,0.0906095188778806,0.02106409713425511
2024-01-01 16:00:00,0.0001920927369282405,0.024083769633507855,0.0,0.0,0.0026170412922079224,0.6956521739130435,0.0,0.02106409713425511,0.02612638631711739,0.013254778522254845
2024-01-01 17:00:00,8.772739166801534e-05,0.024119385974285,0.0,0.0,0.0024894417645763695,0.7391304347826086,0.0,0.013254778522254845,0.02078705739330794,0.012880488047916
2024-01-01 18:00:00,9.226501537498167e-05,0.024112262706129574,0.0,0.0,0.0025870178739416747,0.7826086956521738,0.0,0.012880488047916,0.017125720916571635,0.012919080584896575
2024-01-01 19:00:00,0.0008560983393809774,0.02414787904690672,0.0,0.0,0.002331818818678569,0.8260869565217391,0.0,0.012919080584896575,0.013806929846869875,0.1051863192371878
2024-01-01 20:00:00,0.0002404940564692145,0.024119385974285,0.0,0.0,0.0026620764196072936,0.8695652173913043,0.0,0.1051863192371878,0.051265610808380435,0.05361042432370933
2024-01-01 21:00:00,7.865214425408274e-05,0.024112262706129574,0.0,0.0,0.0026045315345969854,0.9130434782608695,0.0,0.05361042432370933,0.06786154378929887,0.017715035474039215
2024-01-01 22:00:00,7.865214425408274e-05,0.024112262706129574,0.0,0.0,0.0025544925041532393,0.9565217391304348,0.0,0.017715035474039215,0.0698157168913821,0.013023166324100027
2024-01-01 23:00:00,9.680263908194798e-05,0.024119385974285,0.0,0.0,0.0026020295830747986,1.0,0.0,0.013023166324100027,0.03226266258020277,0.012736442149685528
2024-01-02 00:00:00,9.226501537498167e-05,0.024119385974285,0.0,0.0,0.0026070334861191726,0.0,0.16666666666666666,0.012736442149685528,0.015608036257438146,0.022408297716923514
