,dish washer,electric stove,fridge,microwave,washer dryer,hour_sin,hour_cos,day_sin,day_cos,lag_1,rolling_mean,main
2024-01-01 00:45:00,0.87,5.0,0,0,0.8766666666666667,0.0,1.0,0.0,1.0,143.20896657308666,227.16238942464,132.34776631671335
2024-01-01 01:00:00,0.46,5.0,0,0,0.8833333333333333,0.25881904510252074,0.9659258262890683,0.0,1.0,132.34776631671335,201.92605560302,198.97396680195
2024-01-01 01:15:00,0.36,5.0,0,0,0.8666666666666667,0.25881904510252074,0.9659258262890683,0.0,1.0,198.97396680195,158.17689989725,210.64586784362334
2024-01-01 01:30:00,0.8933333333333333,5.0,0,0,0.8533333333333334,0.25881904510252074,0.9659258262890683,0.0,1.0,210.64586784362334,180.6558669874289,128.83433377584333
2024-01-01 01:45:00,0.8766666666666667,5.0,0,0,0.8933333333333333,0.25881904510252074,0.9659258262890683,0.0,1.0,128.83433377584333,179.48472280713887,126.86269994097667
2024-01-01 02:00:00,0.21333333333333335,5.0,0,0,0.92,0.49999999999999994,0.8660254037844387,0.0,1.0,126.86269994097667,155.4476338534811,233.44503326417
2024-01-01 02:15:00,0.6,5.0,0,0,0.9233333333333333,0.49999999999999994,0.8660254037844387,0.0,1.0,233.44503326417,163.04735566033,163.31536720277333
2024-01-01 02:30:00,0.8566666666666667,4.996666666666667,0,0,0.9066666666666666,0.49999999999999994,0.8660254037844387,0.0,1.0,163.31536720277333,174.54103346930665,127.09179974873335
2024-01-01 02:45:00,0.7366666666666667,5.0,0,0,0.9133333333333333,0.49999999999999994,0.8660254037844387,0.0,1.0,127.09179974873335,174.61740007189223,149.30263399760332
2024-01-01 03:00:00,0.06666666666666667,5.0,0,0,0.9533333333333334,0.7071067811865476,0.7071067811865476,0.0,1.0,149.30263399760332,146.56993364970333,240.42933364868668
2024-01-01 03:15:00,0.8933333333333333,5.0,0,0,0.9433333333333334,0.7071067811865476,0.7071067811865476,0.0,1.0,240.42933364868668,172.27458913167445,125.62523307799333
2024-01-01 03:30:00,0.8833333333333333,5.0,0,0,0.95,0.7071067811865476,0.7071067811865476,0.0,1.0,125.62523307799333,171.7857335747611,125.57213340759
2024-01-01 03:45:00,0.45666666666666667,5.0,0,0,0.9266666666666666,0.7071067811865476,0.7071067811865476,0.0,1.0,125.57213340759,163.87556671142332,194.6288998922
2024-01-01 04:00:00,0.4033333333333333,4.996666666666667,0,0,0.9633333333333334,0.8660254037844386,0.5000000000000001,0.0,1.0,194.6288998922,148.60875545926112,193.16723314921
2024-01-01 04:15:00,0.9433333333333334,5.0,0,0,0.9233333333333333,0.8660254037844386,0.5000000000000001,0.0,1.0,193.16723314921,171.122755483,126.24646675110334
2024-01-01 04:30:00,0.89,5.0,0,0,0.9233333333333333,0.8660254037844386,0.5000000000000001,0.0,1.0,126.24646675110334,171.34753326417112,127.35256668093001
2024-01-01 04:45:00,0.16,5.0,0,0,0.9766666666666667,0.8660254037844386,0.5000000000000001,0.0,1.0,127.35256668093001,148.92208886041445,230.8161332702933
2024-01-01 05:00:00,0.7233333333333334,5.0,0,0,0.97,0.9659258262890683,0.25881904510252074,0.0,1.0,230.8161332702933,161.47172223410888,150.25896692912667
2024-01-01 05:15:00,0.8766666666666667,5.0,0,0,0.9466666666666667,0.9659258262890683,0.25881904510252074,0.0,1.0,150.25896692912667,169.47588896011666,126.77446660360333
2024-01-01 05:30:00,0.62,4.996666666666667,0,0,0.9133333333333333,0.9659258262890683,0.25881904510252074,0.0,1.0,126.77446660360333,169.2831889343411,157.18083318075668
2024-01-01 05:45:00,0.22333333333333333,5.01,0,0,0.6266666666666667,0.9659258262890683,0.25881904510252074,0.0,1.0,157.18083318075668,144.73808890449556,326.94836629230997
2024-01-01 06:00:00,0.84,5.0,0,0,0.95,1.0,6.123233995736766e-17,0.0,1.0,326.94836629230997,203.63455535889,126.74270022072999
2024-01-01 06:15:00,0.89,5.0,0,0,0.9366666666666666,1.0,6.123233995736766e-17,0.0,1.0,126.74270022072999,203.62396656459887,125.88563329060334
2024-01-01 06:30:00,0.3233333333333333,5.0,0,0,0.9433333333333334,1.0,6.123233995736766e-17,0.0,1.0,125.88563329060334,193.1922332678811,203.48963264467332
2024-01-01 06:45:00,0.5133333333333333,4.996666666666667,0,0,0.94,1.0,6.123233995736766e-17,0.0,1.0,203.48963264467332,152.03932205200223,175.44569979350334
2024-01-01 07:00:00,0.8533333333333334,5.0,0,0,0.9233333333333333,0.9659258262890683,-0.25881904510252063,0.0,1.0,175.44569979350334,168.27365524292665,125.19066663105
2024-01-01 07:15:00,0.8366666666666667,5.0,0,0,0.94,0.9659258262890683,-0.25881904510252063,0.0,1.0,125.19066663105,168.0419996897422,124.6187332408
2024-01-01 07:30:00,0.04,5.0,0,0,0.92,0.9659258262890683,-0.25881904510252063,0.0,1.0,124.6187332408,141.7516998884511,246.72403348284666
2024-01-01 07:45:00,0.8866666666666667,4.993333333333333,0,0,0.88,0.9659258262890683,-0.25881904510252063,0.0,1.0,246.72403348284666,165.51114445156554,126.84049987795666
2024-01-01 08:00:00,0.86,4.996666666666667,0,0,0.86,0.8660254037844387,-0.4999999999999998,0.0,1.0,126.84049987795666,166.0610888672011,124.58076675418667
2024-01-01 08:15:00,0.5,4.996666666666667,0,0,0.9266666666666666,0.8660254037844387,-0.4999999999999998,0.0,1.0,124.58076675418667,166.04843337166335,172.65026669824334
2024-01-01 08:30:00,0.29333333333333333,5.04,0,0,0.23333333333333334,0.8660254037844387,-0.4999999999999998,0.0,1.0,172.65026669824334,141.35717777679557,545.5326010386034
2024-01-01 08:45:00,0.76,5.02,0,0,0.20666666666666667,0.8660254037844387,-0.4999999999999998,0.0,1.0,545.5326010386034,280.92121149701114,452.70333610536994
2024-01-01 09:00:00,0.73,5.0,0,0,0.3333333333333333,0.7071067811865476,-0.7071067811865475,0.0,1.0,452.70333610536994,390.2954012807389,384.58409957885664
2024-01-01 09:15:00,0.22666666666666666,5.026666666666666,0,0,0.45,0.7071067811865476,-0.7071067811865475,0.0,1.0,384.58409957885664,460.94001224094336,410.3603666940833
2024-01-01 09:30:00,0.5266666666666666,5.006666666666667,0,0,0.48333333333333334,0.7071067811865476,-0.7071067811865475,0.0,1.0,410.3603666940833,415.88260079277,328.0309997304167
2024-01-01 09:45:00,0.79,5.0,0,0,0.63,0.7071067811865476,-0.7071067811865475,0.0,1.0,328.0309997304167,374.3251553344522,261.6178346506567
2024-01-01 10:00:00,0.62,467.1066666666667,0,0,0.93,0.49999999999999994,-0.8660254037844387,0.0,1.0,261.6178346506567,333.33640035838556,737.2611630505066
2024-01-01 10:15:00,0.13666666666666666,4.986666666666666,0,0,0.9966666666666667,0.49999999999999994,-0.8660254037844387,0.0,1.0,737.2611630505066,442.30333247719335,426.39750111898
2024-01-01 10:30:00,0.006666666666666667,2.283333333333333,0,0,300.9066666666667,0.49999999999999994,-0.8660254037844387,0.0,1.0,426.39750111898,475.0921662733811,722.46930033369
2024-01-01 10:45:00,0.0,2.2866666666666666,0,0,313.25666666666666,0.49999999999999994,-0.8660254037844387,0.0,1.0,722.46930033369,628.7093215010588,1095.1481663005668
2024-01-01 11:00:00,0.07333333333333333,2.07,0,0,310.8333333333333,0.258819045102521,-0.9659258262890682,0.0,1.0,1095.1481663005668,748.0049892510789,862.8776304117866
