,dish washer,electric stove,fridge,microwave,washer dryer,hour_sin,hour_cos,day_sin,day_cos,lag_1,rolling_mean,main
2024-01-01 00:45:00,-0.10645557984944659,0.0,-1.1314907716417162,-0.16134896245932878,-0.20391894077135975,0.0,1.0,0.0,1.0,-0.38804953483562427,-0.47807193664893205,-0.5087349067262713
2024-01-01 01:00:00,-0.10640111581311718,0.0,0.6271381617492535,-0.16134896245932878,-0.20391894077135975,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.5088504989282752,-0.5186319198936659,-0.39787272547816893
2024-01-01 01:15:00,-0.10656450792210542,0.0,-1.0637041760349928,-0.16134896245932878,-0.20391894077135975,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.3979839282201493,-0.4754155092272713,-0.5066874337948152
2024-01-01 01:30:00,-0.10656450792210542,0.0,-0.2410909030331017,-0.16134896245932878,-0.20391894077135975,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.5068029449294931,-0.5190364272237873,-0.44961774083504435
2024-01-01 01:45:00,-0.10656450792210542,0.0,-0.19156761326027014,-0.16134896245932878,-0.20391894077135975,0.25881904510252074,0.9659258262890683,0.0,1.0,-0.44973099236114356,-0.49732044327081376,-0.4529062299049757
2024-01-01 02:00:00,-0.10683682810375249,0.0,-1.0995512228345383,-0.16134896245932878,-0.20391894077135975,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.4530196116350015,-0.5175363430182301,-0.5106324524633314
2024-01-01 02:15:00,-0.10672790003109367,0.0,0.6476949990134476,-0.16134896245932878,-0.20391894077135975,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.5107481197964671,-0.5189854984506356,-0.39243954747821663
2024-01-01 02:30:00,-0.106510043885776,0.0,-1.1297918594711216,-0.16219849371690231,-0.20391894077135975,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.39255053509978927,-0.4979817728714776,-0.5105535993401712
2024-01-01 02:45:00,-0.10656450792210542,0.0,0.7173503980078251,-0.16245988795000188,-0.20391894077135975,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.5106692635512083,-0.5191578446725044,-0.3864649867970734
2024-01-01 03:00:00,-0.10661897195843484,0.0,-1.131830554075835,-0.16154500813415343,-0.20391894077135975,0.7071067811865476,0.7071067811865476,0.0,1.0,-0.38657573786281635,-0.47354641098417216,-0.5124629722339533
2024-01-01 03:15:00,-0.10656450792210542,0.0,0.03787047537852673,-0.16147965957587854,-0.20391894077135975,0.7071067811865476,0.7071067811865476,0.0,1.0,-0.5125787120444051,-0.5176355807994539,-0.43096024171197356
2024-01-01 03:30:00,-0.10640111581311718,0.0,-0.4983062056611198,-0.16134896245932878,-0.20391894077135975,0.7071067811865476,0.7071067811865476,0.0,1.0,-0.43107275451594385,-0.48839791267108856,-0.4719098735277819
2024-01-01 03:45:00,-0.106510043885776,0.0,-0.896871000882606,-0.16134896245932878,-0.20391894077135975,0.7071067811865476,0.7071067811865476,0.0,1.0,-0.4720240076851282,-0.5197850700412808,-0.49722763115016294
2024-01-01 04:00:00,-0.10634665177678776,0.0,0.49555741413670384,-0.16134896245932878,-0.20391894077135975,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.4973427677348809,-0.5141885496819926,-0.4027594941451006
2024-01-01 04:15:00,-0.10656450792210542,0.0,-1.1308961523820082,-0.1628519792996512,-0.20391894077135975,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.40287089037304225,-0.5038293422945669,-0.5122074569605356
2024-01-01 04:30:00,-0.10623772370412893,0.0,0.8846932468113905,-0.1655312701889216,-0.20391894077135975,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.5123231866541551,-0.5186321776804756,-0.38831160260816633
2024-01-01 04:45:00,-0.10645557984944659,0.0,-1.1308961523820082,-0.16245988795000188,-0.20391894077135975,0.8660254037844386,0.5000000000000001,0.0,1.0,-0.3884224267885295,-0.47862317703941815,-0.5110302812369052
2024-01-01 05:00:00,-0.106510043885776,0.0,-0.09999624726522277,-0.160041991293831,-0.20391894077135975,0.9659258262890683,0.25881904510252074,0.0,1.0,-0.5111459643216115,-0.5183951559496986,-0.36763066259725574
2024-01-01 05:15:00,-0.10749039653970546,0.0,0.443910484150629,-0.15775479175420992,-0.20391894077135975,0.9659258262890683,0.25881904510252074,0.0,1.0,-0.36774066793968524,-0.46528659942413547,-0.105304857728557
2024-01-01 05:30:00,-0.09196814618582247,0.0,-0.7648655252274078,-0.1478871594547018,-0.20388271490610207,0.9659258262890683,0.25881904510252074,0.0,1.0,-0.10540447658372275,-0.36132745595476173,0.6073077783455002
2024-01-01 05:45:00,-0.1060743315951407,0.0,0.36694976282269504,-0.15670921482181172,-0.20391894077135975,0.9659258262890683,0.25881904510252074,0.0,1.0,0.6072363745646092,0.049480656879601445,-0.1509311138787968
2024-01-01 06:00:00,-0.0987216866906698,0.0,-1.1127177921566462,-0.14991296476122332,-0.20391894077135975,1.0,6.123233995736766e-17,0.0,1.0,-0.15103253925287757,0.12908264475644218,0.1766672346631724
2024-01-01 06:15:00,-0.10705468424907014,0.0,0.6642593926767448,-0.15860432301178345,-0.20391894077135975,1.0,6.123233995736766e-17,0.0,1.0,0.17657878016733386,0.2326617210070143,-0.11282174872230562
2024-01-01 06:30:00,-0.10705468424907014,0.0,-1.1089801853813381,-0.15808153454558438,-0.20391894077135975,1.0,6.123233995736766e-17,0.0,1.0,-0.11292166520008844,-0.03186924928071271,-0.39240816817459456
2024-01-01 06:45:00,-0.10640111581311718,0.0,0.761267277617695,-0.16141431101760367,-0.20391894077135975,1.0,6.123233995736766e-17,0.0,1.0,-0.39251915455374,-0.1205729575360679,-0.37096278732349025
2024-01-01 07:00:00,-0.106510043885776,0.0,-1.1288574577772945,-0.16141431101760367,-0.20391894077135975,0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.3710729245975497,-0.32173829742245896,-0.5008104666364842
2024-01-01 07:15:00,-0.10623772370412893,0.0,0.39956887649811085,-0.16141431101760367,-0.20391894077135975,0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.5009257450794352,-0.4642613132866107,-0.4049368051347829
2024-01-01 07:30:00,-0.10661897195843484,0.0,-0.6732941592323605,-0.16154500813415343,-0.20391894077135975,0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.4050482875708385,-0.4688635582535071,-0.4646662133866681
2024-01-01 07:45:00,-0.10656450792210542,0.0,-1.0168142001265827,-0.16134896245932878,-0.20391894077135975,0.9659258262890683,-0.25881904510252063,0.0,1.0,-0.46478006073965733,-0.5032843912898989,-0.4917680970371997
